CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0091,0.9687688310409918
C0001,C0180,0.9012874014057289
C0001,C0120,0.8958469370375829
C0002,C0159,0.9565216521631684
C0002,C0134,0.8447525221686928
C0002,C0178,0.8416653526662868
C0003,C0085,0.946439077255679
C0003,C0031,0.89210361164671
C0003,C0152,0.8447305973275535
C0004,C0090,0.8821017143569692
C0004,C0075,0.8778693163409511
C0004,C0065,0.852330644092333
C0005,C0007,0.9494973969655448
C0005,C0140,0.8806092760062321
C0005,C0196,0.8629871399072282
C0006,C0169,0.8654291294709817
C0006,C0108,0.7186246087803465
C0006,C0199,0.7134986340596603
C0007,C0005,0.9494973969655448
C0007,C0085,0.8362757167274288
C0007,C0196,0.8255878657485691
C0008,C0109,0.9303088047410165
C0008,C0024,0.8242175772861822
C0008,C0098,0.7721280570929245
C0009,C0197,0.9595702807333912
C0009,C0060,0.9558260624077854
C0009,C0014,0.9368638859571075
C0010,C0062,0.9737433205295754
C0010,C0111,0.964813369655709
C0010,C0132,0.9139749716524486
C0011,C0153,0.8300672954516063
C0011,C0013,0.7522575727323236
C0011,C0107,0.7415892165683262
C0012,C0148,0.9587345078406262
C0012,C0163,0.9133037118349973
C0012,C0113,0.9076133003597184
C0013,C0099,0.9589644922408657
C0013,C0187,0.8986904258403867
C0013,C0046,0.8706905980919887
C0014,C0060,0.9959178884238691
C0014,C0097,0.9474978072103362
C0014,C0009,0.9368638859571075
C0015,C0144,0.9503743872415804
C0015,C0033,0.9475481366899215
C0015,C0058,0.9324820617818277
C0016,C0117,0.9149462910938618
C0016,C0034,0.6468504764315632
C0016,C0046,0.6430689915612107
C0017,C0075,0.876382358781461
C0017,C0179,0.8535788907220934
C0017,C0051,0.8297706945394732
C0018,C0068,0.9079179125723471
C0018,C0122,0.8629350196441021
C0018,C0023,0.8536348329560003
C0019,C0070,0.7774209006272293
C0019,C0119,0.7443402064322433
C0019,C0179,0.6821635676272326
C0020,C0033,0.9484609151107005
C0020,C0058,0.9397059844718012
C0020,C0097,0.887999822528571
